nombre_a,hp_a,ataque_a,defensa_a,velocidad_a,nombre_b,hp_b,ataque_b,defensa_b,velocidad_b,gano_a,turnos,dano_a,dano_b
South Africa,10,19,2,1,Multiple Man,162,20,152,57,0,1,0,20
Norway,2,6,1,1,Box IV,64,189,136,57,0,1,0,200
Century,148,202,252,134,Tuvalu,1,1,7,5,1,1,174,0
Malta,1,1,20,1,Nicaragua,2,3,2,1,0,1,0,1
Iron Monger,208,157,136,63,Black Mamba,97,17,160,88,1,97,97,97
Power Girl,232,255,186,255,Phantom Girl,64,17,99,57,1,1,156,0
Michelangelo,150,27,186,127,Nova,232,215,199,191,0,6,5,177
Demogoblin,80,117,147,106,One Punch Man,220,255,120,211,0,1,0,96
Firelord,208,157,62,191,Shadow Lass,45,17,199,170,1,45,45,44
Iron Man,197,215,157,147,Doctor Strange,194,17,147,29,1,3,198,2
DL Hawkins,129,22,136,29,Human Torch,162,20,99,160,0,129,128,129
Réunion,1,1,6,1,Panama,2,2,2,1,0,1,1,1
Sandman,208,189,147,116,Steel,208,207,157,134,0,4,97,242
Pinsir,59,237,139,133,Starmie,54,139,117,189,1,1,103,1
Superman,232,255,213,255,Molten Man,194,184,136,57,1,2,237,1
Wonder Girl,185,229,147,63,Sinestro,148,215,133,134,1,2,182,142
Martian Manhunter,232,242,213,234,Michelangelo,150,27,186,127,1,3,175,2
Guam,1,1,5,1,Kool-Aid Man,22,38,25,19,0,1,0,29
Serbia,2,2,2,1,Deathlok,162,75,147,75,0,1,0,82
Longshot,22,17,173,68,Ultragirl,162,202,199,88,0,1,0,28
Metallo,220,131,157,57,Plastique,64,17,99,57,1,2,70,2
X-23,232,54,239,106,Maldives,1,1,21,1,1,1,32,0
Dagger,97,17,173,88,Maxima,129,229,186,88,0,2,1,115
Meltdown,97,17,157,29,Blink,64,12,157,50,1,64,64,64
Latvia,1,2,2,1,Superman,232,255,213,255,0,1,0,261
Deathlok,162,75,147,75,Cambodia,4,4,2,1,1,1,74,0
Tanzania,9,15,2,1,Guinea,3,5,2,1,1,1,12,0
Nigeria,30,15,4,1,Gyarados,91,237,108,125,0,1,0,244
Predator,197,70,226,63,Mew,96,188,139,161,1,96,96,96
Sebastian Shaw,220,215,136,29,Vaporeon,128,119,81,95,1,1,131,1
Blackwulf,69,64,54,19,Syria,5,4,3,1,1,1,56,0
Metron,129,17,62,119,Eevee,49,99,66,76,0,4,4,146
Diamondback,64,33,147,57,Isis,106,117,136,191,0,64,63,64
Thunderstrike,194,202,178,178,Captain Marvel,220,255,186,224,0,3,34,212
Dazzler,138,17,133,83,Poland,8,6,3,1,1,1,14,0
Riddler,31,17,25,29,Evil Deadpool,232,75,252,127,0,1,0,43
Invisible Woman,197,17,136,68,Wasp,120,35,99,147,1,120,120,120
Palestine,2,1,11,1,Marowak,54,149,153,57,0,1,0,130
Heat Wave,104,17,67,42,Forge,64,17,115,29,1,64,64,63
Moon Knight,97,86,186,57,Mr Incredible,220,210,94,83,0,4,3,103
Comoros,1,1,6,1,Omastar,64,109,175,76,0,1,0,105
Kool-Aid Man,22,38,25,19,Tiger Shark,162,181,62,116,0,1,0,163
Snowbird,97,75,125,68,Jessica Cruz,115,229,133,116,0,1,0,98
Black Knight III,162,17,173,19,Moon Knight,97,86,186,57,1,97,97,97
Shatterstar,148,117,210,114,Qatar,1,1,2,1,1,1,111,0
Trinidad and Tobago,1,1,5,1,Nauru,1,1,8,6,0,1,0,1
Namorita,162,181,173,119,T-800,138,80,160,42,1,7,144,6
Indiana Jones,69,17,67,42,Mexico,22,30,2,1,1,2,31,1
Suriname,1,3,1,1,Katniss Everdeen,57,12,133,52,0,1,0,13
Cubone,43,90,132,39,Crystal,31,33,136,29,1,31,31,30
Siren,138,154,147,201,Magmar,59,178,76,148,1,1,74,0
Kyle Rayner,138,229,147,127,Ghost Rider,232,136,147,63,1,3,256,2
Red Arrow,45,33,199,63,Clock King,22,17,94,42,1,22,22,21
South Africa,10,19,2,1,Sunspot,57,157,173,88,0,1,0,146
Tauros,70,188,132,180,Yoda,57,128,226,83,1,57,57,56
Malawi,4,3,3,1,Demogoblin,80,117,147,106,0,1,0,116
Saint Kitts and Nevis,1,1,4,1,Red Mist,31,17,136,57,0,1,0,12
Northstar,129,38,173,211,Scarlet Spider II,92,136,136,152,1,92,92,91
Hitmonchan,43,198,108,116,Deadman,232,17,99,83,1,3,300,2
Rwanda,3,1,7,1,Deadshot,64,17,199,57,0,1,0,11
Tajikistan,2,3,2,1,Thailand,14,9,3,1,0,1,1,7
Blob,220,210,178,57,Blackout,185,75,160,114,1,5,236,5
Sandman,208,189,147,116,Togo,2,2,3,1,1,1,166,0
Mera,138,154,199,201,Libya,2,27,1,1,1,1,161,0
Captain Britain,138,194,199,127,Winter Soldier,150,75,210,88,0,138,138,138
Justice,162,17,67,83,Japan,25,7,6,1,1,3,33,2
Tonga,1,1,3,1,Punisher,104,33,252,52,0,1,0,34
Jessica Jones,162,107,133,127,Polaris,115,184,107,106,0,4,4,211
Heard Island and McDonald Islands,1,1,1,1,Maldives,1,1,21,1,1,1,1,0
Guy Gardner,148,229,157,134,Rey,22,12,80,52,1,1,143,0
Poland,8,6,3,1,U.S. Virgin Islands,1,1,6,1,1,1,1,0
Vulture,57,49,67,106,Superman,232,255,213,255,0,1,0,179
Thunderbird,73,75,173,68,Northern Mariana Islands,1,1,3,1,1,1,72,0
Chansey,255,1,1,67,Uruguay,2,4,1,1,1,2,2,3
Multiple Man,162,20,152,57,Vindicator,148,157,173,134,0,33,32,165
Luxembourg,1,1,4,1,Jason Bourne,69,22,252,73,0,1,0,20
Hawk,220,91,99,88,Vixen,115,91,54,127,1,4,144,4
India,225,50,6,1,Tigra,87,75,226,134,0,4,3,291
Power Girl,232,255,186,255,Elle Bishop,97,12,99,29,1,1,177,0
Changeling,97,17,157,57,Mandarin,64,64,239,57,1,64,64,64
Black Adam,232,255,136,234,Macao,1,1,28,1,1,1,258,0
Senegal,3,4,2,1,Captain America,127,41,252,96,0,1,0,44
Guinea-Bissau,1,2,2,1,Seaking,75,172,88,101,0,1,0,167
Superboy,208,242,147,211,Raven,162,17,94,73,1,2,294,1
Mister Sinister,208,117,120,116,Taiwan,5,2,11,1,1,1,101,0
Quill,31,17,25,29,Uzbekistan,6,8,2,1,1,1,17,0
Bishop,173,27,160,57,She-Hulk,232,255,173,106,0,2,1,179
Hungary,3,2,3,1,Flash II,138,117,147,255,0,1,0,118
Lex Luthor,150,131,173,63,Cottonmouth,22,17,54,19,1,1,86,0
Isis,106,117,136,191,Junkpile,208,91,67,42,1,5,250,4
Liberia,2,3,1,1,Black Panther,138,33,252,75,0,1,0,30
Philippines,20,5,6,1,Toad,129,80,62,147,0,1,0,75
Venom III,208,184,136,88,Gladiator,232,255,173,255,0,2,12,260
Jessica Cruz,115,229,133,116,Latvia,1,2,2,1,1,1,200,0
Ink,92,64,120,42,Seychelles,1,1,4,1,1,1,63,0
Swaziland,1,1,2,1,Spawn,208,149,239,127,0,1,0,163
Savage Dragon,197,176,178,137,Firebird,31,12,99,101,1,1,68,0
Huntress,64,17,239,57,Luke Skywalker,57,91,252,106,1,57,57,57
Lizard,162,125,136,68,Lightning Lord,97,17,99,57,1,4,105,3
Porygon,59,109,95,48,San Marino,1,1,9,3,1,1,109,0
Réunion,1,1,6,1,Lobo,232,255,213,137,0,1,0,214
Blackwulf,69,64,54,19,San Marino,1,1,9,3,1,1,59,0
Jamaica,2,1,5,1,Venom,194,141,210,165,0,1,0,136
Tokelau,1,1,3,12,Suriname,1,3,1,1,1,1,1,0
Robin,64,20,213,68,Lex Luthor,150,131,173,63,0,64,64,64
Thailand,14,9,3,1,Kang,162,117,173,147,0,1,0,126
Kylo Ren,69,107,173,83,Nicaragua,2,3,2,1,1,1,108,0
Qatar,1,1,2,1,Chuck Norris,129,202,250,119,0,1,0,218
Kenya,9,10,2,1,Saudi Arabia,6,30,1,1,1,1,8,0
Brainiac,208,242,186,160,Rambo,69,27,252,63,1,69,69,68
Simon Baz,127,229,147,106,Plastic Man,232,157,136,57,1,3,272,18
Feral,64,64,173,114,Poison Ivy,92,27,94,52,0,64,64,64
Myanmar [Burma],11,11,2,1,Living Brain,129,131,62,88,0,1,0,125
Namor,162,242,213,147,Donatello,138,27,186,116,1,3,164,2
Loki,197,157,147,116,Raphael,150,35,199,127,1,150,150,150
Flash,115,17,72,255,Tokelau,1,1,3,12,1,1,14,0
Saudi Arabia,6,30,1,1,Panama,2,2,2,1,1,1,31,1
Turkmenistan,2,8,1,1,Fin Fang Foom,232,205,173,57,0,1,0,217
Franklin Richards,138,202,120,127,Leech,31,4,25,29,1,1,183,0
Cayman Islands,1,1,4,1,Matt Parkman,31,17,136,29,0,1,0,15
Scyther,64,208,110,170,Ymir,232,255,62,68,0,1,148,124
Mister Knife,69,17,160,42,Lithuania,2,2,2,1,1,1,15,0
Dagger,97,17,173,88,Tangela,59,99,161,86,1,59,59,58
Puerto Rico,2,1,7,1,Captain Cold,45,17,41,42,0,1,0,9
Kabuto,22,149,124,76,Kyrgyzstan,2,4,1,1,1,1,159,0
Blizzard II,97,17,136,68,Namibia,1,13,1,1,1,1,15,0
Kool-Aid Man,22,38,25,19,Darkseid,232,255,239,211,0,1,0,254
Professor Zoom,45,17,41,255,Black Lightning,64,20,186,134,0,45,45,45
Northern Mariana Islands,1,1,3,1,Steel,208,207,157,134,0,1,0,211
Daredevil,80,25,252,63,Deathlok,162,75,147,75,0,80,79,80
Superboy-Prime,232,255,213,255,Justice,162,17,67,83,1,1,173,0
Loki,197,157,147,116,Tokelau,1,1,3,12,1,1,159,0
Libya,2,27,1,1,Iraq,7,7,2,1,0,1,0,6
Superman,232,255,213,255,Black Manta,138,64,213,127,1,4,155,3
Kabuto,22,149,124,76,Citizen Steel,232,242,147,83,0,1,0,112
Captain Marvel II,208,205,136,68,Mozambique,5,13,1,1,1,1,178,0
Goldeen,38,123,81,91,Gambia,1,1,3,1,1,1,135,0
Israel,2,1,6,1,Mexico,22,30,2,1,0,1,0,22
Stephanie Powell,22,17,14,137,Quill,31,17,25,29,0,8,8,24
Hydro-Man,185,25,120,63,Stargirl,208,202,133,63,0,3,2,240
Evil Deadpool,232,75,252,127,Captain Marvel,220,255,186,224,0,78,77,234
Ghost Rider,232,136,147,63,Destroyer,227,242,173,147,0,3,2,288
Spider-Girl,150,91,186,152,Mister Freeze,162,75,62,29,1,7,187,6
Sudan,8,29,1,1,Joker,138,17,173,29,0,1,0,14
Plastic Man,232,157,136,57,Skaar,208,215,213,68,0,3,2,240
Hal Jordan,185,229,173,191,Songbird,97,86,136,68,1,1,104,0
Malaysia,6,6,2,1,Vanisher,129,17,99,191,0,1,0,14
Nightcrawler,31,17,199,119,Seadra,49,119,132,133,0,31,30,31
Staryu,22,80,74,133,Pyro,31,17,62,29,1,2,35,1
Romania,5,5,2,1,Malaysia,6,6,2,1,1,2,6,4
Two-Face,31,17,62,29,Ozymandias,45,38,239,83,0,31,30,31
Magmar,59,178,76,148,Shadow Lass,45,17,199,170,1,45,45,45
Killer Frost,80,17,67,32,Kang,162,117,173,147,0,2,1,98
Hungary,3,2,3,1,Rogue,64,17,199,29,0,1,0,13
Donatello,138,27,186,116,Iron Fist,115,136,252,83,1,115,115,114
Sudan,8,29,1,1,Sebastian Shaw,220,215,136,29,0,1,0,232
Daredevil,80,25,252,63,War Machine,232,202,213,160,0,80,79,80
South Korea,10,2,8,1,Nigeria,30,15,4,1,0,2,1,13
Mauritania,2,16,1,1,Havok,138,17,107,63,0,1,0,17
Bumblebee,22,64,80,63,Box IV,64,189,136,57,0,1,1,112
Seadra,49,119,132,133,Niger,4,20,1,1,1,1,127,0
Sobek,106,80,136,57,Flash IV,73,17,115,255,1,73,73,73
Predator,197,70,226,63,Hitmonlee,43,227,71,136,1,43,43,43
Jack of Hearts,69,136,67,255,Malawi,4,3,3,1,1,1,127,0
Wyatt Wingfoot,1,17,136,29,Scorpion,197,128,199,152,0,1,0,1
Brundlefly,92,75,27,63,Namora,97,215,157,106,0,1,0,180
Green Goblin,138,117,120,96,Zimbabwe,3,7,1,1,1,1,108,0
Question,80,27,199,68,Spock,92,38,94,42,0,80,80,80
Northern Mariana Islands,1,1,3,1,Starfire,197,202,173,83,0,1,0,200
Guinea-Bissau,1,2,2,1,Cloak,148,17,136,119,0,1,0,14
Vanisher,129,17,99,191,Guyana,1,4,1,1,1,1,18,0
Thanos,232,255,199,83,Black Lightning,64,20,186,134,1,1,68,1
Jolteon,59,119,81,217,Elastigirl,220,75,173,83,0,59,59,59
Yellowjacket,64,17,25,29,Falcon,64,25,157,127,0,64,63,64
New Zealand,2,5,1,1,Heard Island and McDonald Islands,1,1,1,1,1,1,4,1
Bumblebee,22,64,80,63,Wyatt Wingfoot,1,17,136,29,1,1,1,0
Nick Fury,97,20,252,57,Man-Bat,162,38,67,127,0,97,96,97
Kick-Ass,80,17,136,57,Blade,115,64,226,96,0,80,79,80
Forge,64,17,115,29,Red Tornado,138,91,94,170,0,64,63,64
Sabretooth,208,117,252,96,South Africa,10,19,2,1,1,1,126,0
Hawkeye,22,22,199,52,Monica Dawson,31,17,226,88,0,22,21,22
Green Arrow,64,22,226,88,T-850,208,202,186,63,0,64,64,64
Tonga,1,1,3,1,Galactus,232,255,120,211,0,1,0,245
Kid Flash,97,1,67,234,Vindicator,148,157,173,134,0,2,2,177
Lobo,232,255,213,137,Thunderbird,73,75,173,68,1,1,81,0
Vibe,69,17,67,42,Iran,16,25,2,1,1,2,30,1
Leader,31,17,99,29,Deathlok,162,75,147,75,0,31,30,31
Synch,64,168,136,57,Walrus,115,64,41,19,1,1,146,0
Lickitung,86,99,103,29,Venompool,232,141,252,160,0,3,2,111
Mister Mxyzptlk,232,215,120,255,Maldives,1,1,21,1,1,1,181,0
Vanisher,129,17,99,191,Copycat,57,17,147,52,1,57,57,56
Domino,64,17,184,68,Bushido,22,17,173,19,1,22,22,21
Walrus,115,64,41,19,Sylar,64,17,136,29,1,64,64,64
Elongated Man,208,17,94,83,Russia,28,255,1,1,1,2,31,141
Predator,197,70,226,63,Red Arrow,45,33,199,63,1,45,45,45
Spider-Man,173,136,213,170,Pitcairn Islands,1,1,1,3,1,1,125,0
Isle of Man,1,1,3,1,John Wraith,64,22,199,88,0,1,0,18
Nicaragua,2,3,2,1,Hellcat,104,20,173,83,0,1,0,20
New Caledonia,1,1,1,1,Heat Wave,104,17,67,42,0,1,0,17
Mera,138,154,199,201,Gamora,197,215,252,106,0,9,9,145
Michelangelo,150,27,186,127,Daredevil,80,25,252,63,1,80,80,79
Quicksilver,138,64,136,255,Ghost Rider,232,136,147,63,0,138,138,138
Nick Fury,97,20,252,57,Nightwing,64,20,252,83,1,64,64,64
Kilowog,97,229,199,134,Power Girl,232,255,186,255,0,2,49,102
Professor Zoom,45,17,41,255,New Zealand,2,5,1,1,1,1,16,0
Cambodia,4,4,2,1,Isis,106,117,136,191,0,1,0,117
Warp,64,17,120,57,Mali,4,19,1,1,1,1,14,0
Seadra,49,119,132,133,Living Tribunal,232,255,67,255,0,1,0,140
Mephisto,220,215,99,88,Darkseid,232,255,239,211,0,2,1,289
Faora,232,242,226,191,Darkstar,97,12,157,88,1,2,160,1
Changeling,97,17,157,57,Guyana,1,4,1,1,1,1,18,0
Green Goblin,138,117,120,96,Vibe,69,17,67,42,1,2,91,1
Guadeloupe,1,1,5,1,Synch,64,168,136,57,0,1,0,147
Toxin,194,184,173,178,Fin Fang Foom,232,205,173,57,0,7,74,218
Sinestro,148,215,133,134,Dazzler,138,17,133,83,1,2,160,1
Copycat,57,17,147,52,Godzilla,232,255,41,137,0,1,0,100
Kabutops,54,218,146,123,Flash II,138,117,147,255,1,2,154,2
Swaziland,1,1,2,1,Monica Dawson,31,17,226,88,0,1,0,16
Zimbabwe,3,7,1,1,Sint Maarten,1,1,28,6,1,1,1,1
Purple Man,69,17,14,19,Jessica Jones,162,107,133,127,0,1,0,101
Hawk,220,91,99,88,Snowbird,97,75,125,68,1,97,97,96
Cayman Islands,1,1,4,1,Bumblebee,22,64,80,63,0,1,0,63
Machine Man,194,75,157,88,Deadshot,64,17,199,57,1,64,64,63
Jolteon,59,119,81,217,Vibe,69,17,67,42,1,2,98,1
Hawkeye,22,22,199,52,Palau,1,1,2,1,1,1,17,0
Mister Mxyzptlk,232,215,120,255,Ghost Rider,232,136,147,63,1,4,251,51
Godzilla,232,255,41,137,Steppenwolf,232,255,252,211,0,2,3,418
Thor Girl,194,210,173,178,Black Canary,45,12,199,83,1,5,56,4
Moldova,2,2,3,1,Namorita,162,181,173,119,0,1,0,155
Singapore,2,1,103,1,Longshot,22,17,173,68,0,2,1,2
Jason Bourne,69,22,252,73,Data,92,75,120,52,0,69,69,69
Mister Mxyzptlk,232,215,120,255,Romania,5,5,2,1,1,1,215,0
Giganta,197,226,99,57,Metron,129,17,62,119,1,1,177,1
Scarlet Spider,171,131,136,152,Franklin Richards,138,202,120,127,0,3,33,214
Robin III,64,20,213,68,Lightning Lad,64,17,99,57,1,64,64,63
Luke Skywalker,57,91,252,106,Zoom,64,17,62,255,1,3,88,3
Trinidad and Tobago,1,1,5,1,British Indian Ocean Territory,1,1,2,3,0,1,0,1
Ukraine,10,10,2,1,Liberia,2,3,1,1,1,1,9,0
Demogoblin,80,117,147,106,Indiana Jones,69,17,67,42,1,2,107,1
Laos,2,5,1,1,Dratini,34,117,59,67,0,1,0,99
Mach-IV,194,86,136,152,Cheetah II,45,43,147,106,1,45,45,44
Spawn,208,149,239,127,Captain Planet,185,223,147,191,1,93,186,93
Stephanie Powell,22,17,14,137,Zatanna,64,17,136,57,0,8,8,24
Warp,64,17,120,57,Jubilee,45,12,226,55,1,45,45,44
Black Canary,45,12,199,83,Lithuania,2,2,2,1,1,1,9,0
Miss Martian,232,215,107,147,Chad,3,20,1,1,1,1,197,0
Kylo Ren,69,107,173,83,Savage Dragon,197,176,178,137,0,23,22,69
Mister Freeze,162,75,62,29,Harry Potter,22,9,120,52,1,22,22,22
Vindicator,148,157,173,134,Plastic Man,232,157,136,57,1,11,234,10
Gamora,197,215,252,106,Maldives,1,1,21,1,1,1,213,0
Somalia,3,10,1,1,Comoros,1,1,6,1,1,1,3,1
Offspring,229,17,136,88,Ireland,2,2,2,1,1,1,13,0
South Sudan,3,11,1,1,Weezing,59,168,168,86,0,1,0,155
Bizarro,232,242,213,255,Mantis,185,12,199,83,1,5,213,4
Kilowog,97,229,199,134,Hawkeye II,22,6,120,19,1,1,107,0
Comoros,1,1,6,1,Sint Maarten,1,1,28,6,0,1,0,1
French Polynesia,1,1,2,1,Kosovo,1,1,3,1,0,1,0,1
Shadow King,232,22,186,68,Deadman,232,17,99,83,1,200,200,200
Iceman,232,75,157,134,Marshall Islands,1,1,6,2,1,1,69,0
Namora,97,215,157,106,Goblin Queen,64,17,136,57,1,1,86,0
Lobo,232,255,213,137,Mali,4,19,1,1,1,1,242,0
Papua New Guinea,2,8,1,1,Cyclops,97,17,199,57,0,1,0,14
Mew,96,188,139,161,Purple Man,69,17,14,19,1,1,167,0
Ghost Rider,232,136,147,63,Hela,232,255,107,116,0,3,53,317
Lex Luthor,150,131,173,63,Red Skull,31,17,199,29,1,31,31,30
Pinsir,59,237,139,133,Rorschach,45,17,199,73,1,2,74,1
Daredevil,80,25,252,63,Kyle Rayner,138,229,147,127,0,80,79,80
Pinsir,59,237,139,133,Walrus,115,64,41,19,1,1,225,0
Yellowjacket,64,17,25,29,Chansey,255,1,1,67,1,16,266,16
Buffy,162,64,147,106,Doctor Strange,194,17,147,29,0,162,162,162
Mera,138,154,199,201,Deadman,232,17,99,83,1,5,265,4
Jolteon,59,119,81,217,Vegeta,220,255,252,234,0,1,0,175
Ghost Rider,232,136,147,63,Elektra,64,20,252,75,1,64,64,64
Rhino,208,202,213,109,Maxima,129,229,186,88,1,8,134,114
U.S. Virgin Islands,1,1,6,1,Mali,4,19,1,1,0,1,0,14
Norway,2,6,1,1,Q,232,22,94,42,0,1,0,21
Ultron,232,210,157,106,Guyana,1,4,1,1,1,1,206,0
Loki,197,157,147,116,Songbird,97,86,136,68,1,5,109,4
Hulk,232,255,213,160,Vegeta,220,255,252,234,0,6,15,257
Lithuania,2,2,2,1,Morlun,97,149,136,88,0,1,0,145
Vibe,69,17,67,42,Blue Beetle III,185,80,67,147,0,5,4,70
Quill,31,17,25,29,Saint Martin,1,1,11,3,1,1,6,0
Thunderstrike,194,202,178,178,Cannonball,229,64,136,170,1,4,261,3
Scorpia,64,64,62,106,Omastar,64,109,175,76,0,2,2,98
Boba Fett,83,17,173,96,Steel,208,207,157,134,0,3,2,96
Brainiac 5,64,17,72,57,U.S. Minor Outlying Islands,1,1,1,113,1,1,15,1
Evilhawk,162,75,157,83,Gambia,1,1,3,1,1,1,78,0
Gambia,1,1,3,1,Malawi,4,3,3,1,0,1,0,1
Saint Vincent and the Grenadines,1,1,5,1,Magog,148,117,178,57,0,1,0,108
Franklin Richards,138,202,120,127,Martian Manhunter,232,242,213,234,0,2,1,252
James T. Kirk,69,20,186,42,Hawkeye,22,22,199,52,1,22,22,22
Scarlet Spider,171,131,136,152,Tigra,87,75,226,134,1,87,87,86
Wonder Woman,232,255,252,201,Shocker,162,17,136,57,1,2,254,1
Fin Fang Foom,232,205,173,57,Marowak,54,149,153,57,1,2,104,2
Justice,162,17,67,83,Brainiac 5,64,17,72,57,1,64,64,63
Jolt,73,22,99,68,Mantis,185,12,199,83,0,73,72,73
Norfolk Island,1,1,2,4,Martinique,1,1,7,1,1,1,1,0
Mr Immortal,232,17,67,19,Mr Incredible,220,210,94,83,0,2,1,304
Papua New Guinea,2,8,1,1,Italy,13,5,4,1,0,1,4,4
Franklin Richards,138,202,120,127,Doctor Octopus,92,117,160,83,1,3,129,2
Sage,31,17,136,29,MODOK,57,38,27,63,0,31,30,31
Taskmaster,45,22,252,127,Macao,1,1,28,1,1,1,1,0
Rachel Pirzad,22,1,14,19,Toxin,194,184,173,178,0,1,0,145
Deathlok,162,75,147,75,Venom III,208,184,136,88,0,5,4,173
Falcon,64,25,157,127,Iron Fist,115,136,252,83,0,64,64,64
One Punch Man,220,255,120,211,Supergirl,232,255,186,255,0,2,79,297
Warpath,162,181,210,119,Kyle Rayner,138,229,147,127,1,5,164,97
Rhino,208,202,213,109,Mister Zsasz,64,49,213,83,1,64,64,63
Clock King,22,17,94,42,Offspring,229,17,136,88,0,22,21,22
Micah Sanders,31,12,25,29,Match,197,242,173,211,0,1,0,236
Silk,162,117,160,181,Captain Planet,185,223,147,191,0,3,2,199
Ukraine,10,10,2,1,Greece,3,3,2,1,1,1,8,1
Honduras,3,3,2,1,Solomon Grundy,232,236,67,32,0,1,0,224
Mister Sinister,208,117,120,116,Syria,5,4,3,1,1,1,130,0
Franklin Storm,1,17,14,1,U.S. Virgin Islands,1,1,6,1,0,1,0,1
Legion,69,255,186,106,Sif,185,229,173,170,0,2,94,97
Réunion,1,1,6,1,Nina Theroux,22,4,41,19,0,1,0,1
Leader,31,17,99,29,Mephisto,220,215,99,88,0,1,0,106
Thor,232,255,252,211,Thailand,14,9,3,1,1,1,233,0
Zatanna,64,17,136,57,T-1000,232,80,186,83,0,64,63,64
Maxima,129,229,186,88,Data,92,75,120,52,1,1,101,0
Huntress,64,17,239,57,Black Mamba,97,17,160,88,0,64,63,64
Exeggutor,91,178,117,76,Rwanda,3,1,7,1,1,1,160,0
Omastar,64,109,175,76,Cheetah II,45,43,147,106,1,45,45,45
Macedonia,1,1,2,1,Shocker,162,17,136,57,0,1,0,14
Diamondback,64,33,147,57,Nightwing,64,20,252,83,0,64,63,64
Citizen Steel,232,242,147,83,Madagascar,5,10,2,1,1,1,251,0
Speedy,45,6,173,83,Nepal,7,3,4,1,1,4,8,3
Darkstar,97,12,157,88,Slovakia,2,2,3,1,1,1,10,0
Gladiator,232,255,173,255,Uganda,7,5,3,1,1,1,277,0
Speedy,45,6,173,83,Spider-Woman,138,102,173,106,0,45,44,45
Monaco,1,1,255,58,Miss Martian,232,215,107,147,0,1,0,1
Iraq,7,7,2,1,British Indian Ocean Territory,1,1,2,3,1,1,5,1
Tigra,87,75,226,134,Mali,4,19,1,1,1,1,75,0
Falcon,64,25,157,127,Isle of Man,1,1,3,1,1,1,22,0
Kyrgyzstan,2,4,1,1,Spyke,138,22,67,42,0,1,0,19
Lebanon,2,1,7,1,Elastigirl,220,75,173,83,0,1,0,66
Guadeloupe,1,1,5,1,Donatello,138,27,186,116,0,1,0,22
Cloak,148,17,136,119,Rip Hunter,22,12,54,19,1,22,22,21
Philippines,20,5,6,1,Robin III,64,20,213,68,0,2,1,26
Equatorial Guinea,1,1,2,1,Darkstar,97,12,157,88,0,1,0,9
Jubilee,45,12,226,55,Dratini,34,117,59,67,1,34,34,34
Sandman,208,189,147,116,Darkstar,97,12,157,88,1,3,105,2
East Timor,1,1,2,1,Changeling,97,17,157,57,0,1,0,13
Red Mist,31,17,136,57,Etrigan,232,215,120,42,0,1,1,75
James Bond,80,25,226,42,Husk,180,157,157,88,0,80,79,80
Sebastian Shaw,220,215,136,29,El Salvador,2,1,5,1,1,1,192,0
Chansey,255,1,1,67,Scorpia,64,64,62,106,0,4,3,262
Mexico,22,30,2,1,Polaris,115,184,107,106,0,1,0,206
Black Bolt,194,168,136,255,Winter Soldier,150,75,210,88,1,150,150,149
Colossus,232,210,199,83,General Zod,232,255,239,245,0,5,4,285
Sauron,232,215,173,83,Hit-Girl,45,9,160,73,1,1,48,0
Superboy-Prime,232,255,213,255,Ink,92,64,120,42,1,1,116,0
Cheetah III,185,255,239,224,Vixen,115,91,54,127,1,1,210,0
Ultron,232,210,157,106,Miss Martian,232,215,107,147,1,3,296,181
Thunderstrike,194,202,178,178,Jynx,59,90,45,152,1,1,165,0
Thunderstrike,194,202,178,178,Magikarp,12,11,74,123,1,1,122,0
Kiribati,1,1,3,1,Stephanie Powell,22,17,14,137,0,1,0,14
Hydro-Man,185,25,120,63,Vision,220,181,173,137,0,4,3,238
Sif,185,229,173,170,Kick-Ass,80,17,136,57,1,1,81,0
Vaporeon,128,119,81,95,Mayotte,1,1,7,1,1,1,117,0
Thing,232,213,199,52,Spider-Gwen,162,136,173,160,1,5,203,5
Wonder Man,208,255,157,134,Scorpion,197,128,199,152,1,4,238,4
Jolt,73,22,99,68,Jean Grey,45,202,173,52,0,1,1,113
Namibia,1,13,1,1,Rhydon,102,247,168,48,0,1,0,281
Scarlet Spider,171,131,136,152,Psylocke,92,78,226,63,1,92,92,91
Iron Man,197,215,157,147,Goblin Queen,64,17,136,57,1,1,80,0
Swaziland,1,1,2,1,Tangela,59,99,161,86,0,1,0,87
Rocket Raccoon,64,4,157,57,Dormammu,232,242,199,211,0,1,0,84
Serbia,2,2,2,1,Giganta,197,226,99,57,0,1,0,199
Kathryn Janeway,57,12,120,52,The Cape,73,17,157,57,0,57,56,57
Spider-Man,173,136,213,170,Turks and Caicos Islands,1,1,2,1,1,1,116,0
Maya Herrera,31,17,25,29,Rogue,64,17,199,29,0,31,30,31
Man-Wolf,97,107,173,88,Ink,92,64,120,42,1,92,92,91
Oracle,64,20,189,57,Palau,1,1,2,1,1,1,18,0
Deadman,232,17,99,83,South Korea,10,2,8,1,1,1,10,0
Ymir,232,255,62,68,Palau,1,1,2,1,1,1,242,0
Tajikistan,2,3,2,1,South Korea,10,2,8,1,0,2,1,2
Colossus,232,210,199,83,Darth Vader,80,117,252,83,1,80,80,79
Exeggutor,91,178,117,76,Thing,232,213,199,52,0,1,1,99
Jack of Hearts,69,136,67,255,Qatar,1,1,2,1,1,1,150,0
Palestine,2,1,11,1,Human Torch,162,20,99,160,0,1,0,8
